parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PFOS_Free,PFOS free fraction maternal plasma,0.025,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_FreeF,PFOS free fraction fetal plasma,0.025,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k1c,PFOS mom→fetus transfer (L/h/kg^0.75),0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k2c,PFOS fetus→mom transfer (L/h/kg^0.75),1.01,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k3c,PFOS fetal_rest→amniotic (L/h/kg^0.75),0.006,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k4c,PFOS amniotic→fetal_rest (L/h/kg^0.75),0.001,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_HL,PFOS half-life (years),5.4,h,true,http://purl.obolibrary.org/obo/PBPKO_00262,
PFOA_PL,PFOA liver:plasma PC,2.2,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PFat,PFOA fat:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PK,PFOA kidney:plasma PC,1.05,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PSk,PFOA skin:plasma PC,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00176,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PR,PFOA rest of body:plasma PC,0.12,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00518,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PG,PFOA gut:plasma PC,0.05,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00166,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PMam,PFOA mammary:plasma PC,0.13,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00517,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PPla,PFOA placenta:plasma PC,0.28,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PRF,PFOA fetal rest:plasma PC,0.12,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00394,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_TMC,PFOA reabsorption Tm (mg/h/kg^0.75),10,mg_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_KT,PFOA affinity constant (mg/L),0.055,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Free,PFOA free fraction maternal plasma,0.02,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_FreeF,PFOA free fraction fetal plasma,0.02,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k1c,PFOA mom→fetus transfer (L/h/kg^0.75),0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k2c,PFOA fetus→mom transfer (L/h/kg^0.75),0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k3c,PFOA fetal_rest→amniotic (L/h/kg^0.75),0.008,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k4c,PFOA amniotic→fetal_rest (L/h/kg^0.75),0.001,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_HL,PFOA half-life (years),3.8,h,true,http://purl.obolibrary.org/obo/PBPKO_00262,
kurinec,Urinary elimination rate constant (/h/kg^-0.25),0.005,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00237,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
DOSE_INT,Dose interval (h),1,h,true,http://purl.obolibrary.org/obo/PBPKO_00551,
GD,,0,h,false,http://purl.obolibrary.org/obo/PBPKO_00551,
WK,,0,h,false,http://purl.obolibrary.org/obo/PBPKO_00551,
PL,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFat,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PK,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PSk,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00176,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PR,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00518,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PG,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00166,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PMam,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00517,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
