col,row,time
2500,12000,183.78645992279053
2000,10000,121.2310562133789
2500,3000,32.28493618965149
1500,15000,112.23712205886841
1000,17000,78.1140296459198
1500,19000,326.59915375709534
500,6000,20.83674192428589
500,16000,60.93187189102173
4500,5000,57.752070903778076
4000,12000,146.4153208732605
1500,7000,34.5436749458313
4500,10000,124.71028590202332
1000,5000,13.557156801223755
3000,12000,121.7911148071289
3500,10000,109.99667310714722
4000,7000,75.78942775726318
3000,2000,14.674170017242432
1000,9000,40.54922699928284
4500,9000,112.88773226737976
500,18000,69.24443793296814
500,14000,51.490135192871094
3500,2000,17.462719917297363
1500,9000,45.0231671333313
4000,9000,101.71734809875488
3000,10000,172.501610994339
1000,7000,32.06901407241821
4000,5000,68.81226086616516
3500,12000,199.90232610702515
4500,7000,116.53049874305725
4000,10000,164.495609998703
1500,5000,26.05653190612793
4500,12000,287.29518270492554
2500,10000,256.63787508010864
2000,12000,281.71839022636414
500,4000,30.049651861190796
1000,19000,285.30257296562195
2000,3000,43.71762490272522
1500,17000,274.3461456298828
1000,15000,173.03010988235474
500,8000,62.796968936920166
2500,1000,16.246190786361694
4000,1000,28.648972988128662
3500,16000,553.5600199699402
3000,14000,240.93336391448975
1000,3000,7.3721818923950195
3000,8000,60.46150088310242
1500,1000,3.7803359031677246
4500,16000,279.49839091300964
4500,3000,42.31026101112366
