parameter_id,name,value,units,constant,pbpko_class,chebi_ids
PFOS_PL,PFOS liver:plasma PC,2.67,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pfat,PFOS fat:plasma PC,0.33,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pbr,PFOS brain:plasma PC,0.26,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00515,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Plg,PFOS lung:plasma PC,0.15,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00179,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_PK,PFOS kidney:plasma PC,1.26,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pmar,PFOS marrow:plasma PC,0.11,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_PG,PFOS gut:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00166,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Pmam,PFOS mammary:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00517,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Psk,PFOS skin:plasma PC,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00176,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_PR,PFOS rest:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00518,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Ppla,PFOS placenta:plasma PC,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_PRF,PFOS fetal rest:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00394,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_TMC,PFOS Tm coeff (mg/h/kg^0.75),3.55,mg_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_KT,PFOS affinity constant (mg/L),0.0176,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_Free,PFOS free fraction,0.025,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_FreeF,PFOS fetal free fraction,0.025,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k1c,PFOS placenta-&gt;fetus,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k2c,PFOS fetus-&gt;placenta (Verner 2015),1.01,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k3c,PFOS fetal-&gt;amniotic,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOS_k4c,PFOS amniotic-&gt;fetal,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PL,PFOA liver:plasma PC,1.03,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00170,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Pfat,PFOA fat:plasma PC,0.47,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00174,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Pbr,PFOA brain:plasma PC,0.17,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00515,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Plg,PFOA lung:plasma PC,1.27,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00179,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PK,PFOA kidney:plasma PC,1.17,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00171,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Pmar,PFOA marrow:plasma PC,18.73,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PG,PFOA gut:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00166,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Pmam,PFOA mammary:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00517,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Psk,PFOA skin:plasma PC,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00176,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PR,PFOA rest:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00518,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Ppla,PFOA placenta:plasma PC,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_PRF,PFOA fetal rest:plasma PC,0.04,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00394,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_TMC,PFOA Tm coeff (mg/h/kg^0.75),10,mg_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_KT,PFOA affinity constant (mg/L),0.055,mg_per_L,true,http://purl.obolibrary.org/obo/PBPKO_00535,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_Free,PFOA free fraction,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_FreeF,PFOA fetal free fraction,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k1c,PFOA placenta-&gt;fetus,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k2c,PFOA fetus-&gt;placenta (Sharma 2018b / Verner 2015),0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k3c,PFOA fetal-&gt;amniotic,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PFOA_k4c,PFOA amniotic-&gt;fetal,0.46,per_h,true,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
RateInj_child,"Child dietary PFAS intake rate (ng/kg/min, McSIM child phase = 0)",0,mg_per_h,true,http://purl.obolibrary.org/obo/PBPKO_00322,
