parameter_id,name,value,units,constant,pbpko_class,chebi_ids
sc_V_adult_7,,0.2917,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_8,,0.001552,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_9,,0.002,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_10,,0.0383,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_11,,0.0022,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_12,,0.00028,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_13,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_14,,0.0046,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_15,,0.007,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_16,,0.016,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_17,,0.0023,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_18,,0.0233,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_21,,0.0233,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_22,,0.065,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_V_adult_23,,0.100386,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_0,,0.087,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_1,,0.003,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_2,,0.021,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_3,,0.124,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_4,,0.004,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_5,,0.051,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_6,,0.031,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_7,,0.124,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_8,,0.004,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_9,,0.01,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_10,,0.051,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_11,,0.031,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_12,,0.015,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_13,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_14,,0.175,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_15,,0.026,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_16,,0.165,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_17,,0.01,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
sc_F_adult_21,,0.065,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_0,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_1,,0.00436,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_2,,0.0245,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_3,,0.347,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_4,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_5,,0.00661,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_6,,0.0138,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_7,,0.207,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_8,,0.001338,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_9,,0.002,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_10,,0.06101,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_11,,0.0033,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_12,,0.00057,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_13,,0.001,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_14,,0.00865,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_15,,0.01746,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_16,,0.02607,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_17,,0.0034,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_18,,0.04366,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scV_atbirth_22,,0.0771,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_1,,0.00063,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
scVend_foetus_2,,0.0225,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
